EmpID,BiasInfluentialFactor,FitmentPercent
5664,CurrentCompanyType,0.06
23568,DegreeBranch,0.05
21490,MartialStatus,47.37
8363,NA,0.06
6165,Gender,20.55
17679,NA,0.06
9715,DegreeBranch,16.7
12591,NA,0.04
6140,NA,0.06
21018,NA,0.05
13221,DegreeBranch,4.79
23585,YearsOfExperince,27.95
22575,NA,0.05
6078,HighestDegree,44.89
24125,Gender,17.88
18073,NA,0.06
21420,NA,0.05
13218,YearsOfExperince,25.88
8728,NA,0.05
21541,NA,0.05
12905,YearsOfExperince,18.91
19873,Gender,16.95
6947,YearsOfExperince,21.57
19019,DegreeBranch,20.71
24372,NA,0.05
5298,Gender,19.21
18306,NA,0.05
22877,NA,0.06
15511,NA,0.06
11889,NA,0.05
9848,Gender,2.53
4944,Gender,10.7
4689,CurrentCompanyType,0.06
24333,HighestDegree,32.56
12186,EmpScore,31.15
2936,DegreeBranch,17.96
5082,NA,0.05
22236,EmpScore,36.89
19221,HighestDegree,46.0
20858,NA,0.05
16461,NA,0.05
22064,NA,0.05
3175,DegreeBranch,17.53
18407,DegreeBranch,13.9
3684,Gender,2.77
2198,NA,0.05
7540,Gender,13.54
12700,DegreeBranch,21.91
17503,DegreeBranch,18.07
9153,NA,0.05
12564,NA,0.06
16511,Gender,0.06
16396,NA,0.05
6871,HighestDegree,42.58
9376,YearsOfExperince,20.76
7865,EmpScore,35.78
20616,NA,0.07
8839,DegreeBranch,0.88
15788,DegreeBranch,20.54
10040,NA,0.05
6147,NA,0.05
24148,DegreeBranch,27.68
4187,NA,0.05
18097,NA,0.05
11617,DegreeBranch,15.62
3642,Gender,19.81
17990,NA,0.04
10677,DegreeBranch,21.21
2215,DegreeBranch,5.57
9784,EmpScore,33.79
13451,YearsOfExperince,36.79
16266,Ethinicity,158.92
19313,NA,0.06
16790,Gender,0.05
21204,NA,0.06
24019,NA,0.04
14539,Gender,11.85
3123,HighestDegree,36.24
9647,HighestDegree,35.55
18930,YearsOfExperince,7.87
23676,NA,0.06
16808,NA,0.06
23101,Gender,22.95
3010,NA,0.05
4544,DegreeBranch,17.48
22861,YearsOfExperince,8.03
10897,YearsOfExperince,9.65
13475,CurrentCompanyType,0.05
23461,EmpScore,37.46
19877,Gender,21.56
10949,NA,0.05
13759,Gender,24.03
9443,YearsOfExperince,24.61
5606,EmpScore,32.78
21658,Gender,23.32
9731,NA,0.05
16330,YearsOfExperince,18.89
18456,NA,0.05
22486,Gender,0.05
4900,Gender,10.43
12433,Gender,7.07
10757,DegreeBranch,22.89
20969,CurrentCompanyType,3.28
4565,NA,0.05
16117,EmpScore,29.14
22266,Gender,9.5
23691,DegreeBranch,17.2
14468,Gender,9.97
9433,DegreeBranch,16.84
2730,EmpScore,34.14
13205,YearsOfExperince,27.55
5829,NA,0.05
2418,Gender,0.06
2634,DegreeBranch,17.41
2693,Gender,14.23
22436,Gender,19.03
8840,Gender,25.82
4130,YearsOfExperince,12.06
13577,YearsOfExperince,4.99
16463,Gender,0.06
15922,MartialStatus,47.67
16368,NA,0.05
18819,DegreeBranch,10.78
14057,EmpScore,34.95
12793,DegreeBranch,16.85
12592,YearsOfExperince,24.25
18919,Gender,12.77
20836,DegreeBranch,19.32
16849,NA,0.05
17458,Gender,18.32
3924,DegreeBranch,25.24
9026,EmpScore,38.55
6304,YearsOfExperince,19.15
12307,YearsOfExperince,15.75
17526,NA,0.05
11500,NA,0.06
11333,DegreeBranch,23.22
12156,DegreeBranch,2.67
11591,YearsOfExperince,37.97
16930,NA,0.05
